Title,Index,Temp(C),Plg,volPlg,Olv,volOlv,Opx,volOpx,Cpx,volCpx,Hbl,volHbl,Amp,volAmp,Fe-Ti,volFe-Ti,rhm-Oxide,(vol%),Quartz(0:out/1:in),Biotite(0:out/1:in),Corundum(0:out/1:in),Water(0:out/1:in),Pressure,H2O
30,1,1108,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
30,2,1098,82,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
30,3,1088,81,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
30,4,1078,81,7.3,75,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
30,5,1068,79,11.2,74,1,0,0,73,2,0,0,0,0,0.206,0.8,0,0,0,0,0,0,500,2
30,6,1058,76,15.4,73,1.4,0,0,73,4.9,0,0,0,0,0.212,1.6,0,0,0,0,0,0,500,2
30,7,1048,73,19.7,72,0.7,74,1.6,73,7.2,0,0,0,0,0.217,2.3,0,0,0,0,0,0,500,2
30,8,1038,71,24.2,0,0,74,3.7,72,8.4,0,0,0,0,0.224,2.8,0,0,0,0,0,0,500,2
30,9,1028,69,27.9,0,0,73,4.5,72,9.2,0,0,0,0,0.231,3,0,0,0,0,0,0,500,2
30,10,1018,66,31.1,0,0,72,5.3,71,9.8,0,0,0,0,0.237,3.3,0,0,0,0,0,0,500,2
30,11,1008,65,33.9,0,0,71,5.9,71,10.4,0,0,0,0,0.244,3.4,0,0,0,0,0,0,500,2
30,12,998,63,36.4,0,0,70,6.4,71,10.8,0,0,0,0,0.25,3.5,0,0,0,0,0,0,500,2
30,13,988,62,38.6,0,0,69,6.8,70,11.2,0,0,0,0,0.255,3.5,0,0,0,0,0,0,500,2
30,14,978,60,40.5,0,0,68,7.2,70,11.6,0,0,0,0,0.261,3.6,0,0,0,0,0,0,500,2
30,15,968,59,42.1,0,0,68,7.6,70,11.8,0,0,0,0,0.267,3.6,0,0,0,0,0,0,500,2
30,16,958,58,43.6,0,0,67,7.9,69,12.1,0,0,0,0,0.272,3.6,0,0,0,0,0,0,500,2
30,17,948,58,44.9,0,0,66,8.2,69,12.3,0,0,0,0,0.278,3.6,0,0,0,0,0,0,500,2
30,18,938,57,46,0,0,66,8.4,69,12.4,0,0,0,0,0.283,3.5,0,0,0,0,0,0,500,2
30,19,928,56,47,0,0,65,8.7,69,12.6,0,0,0,0,0.289,3.5,0,0,0,0,0,0,500,2
30,20,918,56,47.9,0,0,64,9,68,12.7,0,0,0,0,0.294,3.5,0,0,0,0,0,0,500,2
,,,,,,,,,,,,,,,,,,,,,,,,
31,1,1103,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
31,2,1093,81,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
31,3,1083,80,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
31,4,1073,79,7.2,74,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
31,5,1063,78,10.7,73,1,0,0,73,1,0,0,0,0,0.217,0.8,0,0,0,0,0,0,500,2
31,6,1053,75,14.8,73,1.4,0,0,73,3.6,0,0,0,0,0.223,1.5,0,0,0,0,0,0,500,2
31,7,1043,73,19.8,0,0,74,3.2,73,5.2,0,0,0,0,0.23,2.2,0,0,0,0,0,0,500,2
31,8,1033,70,23.8,0,0,73,4.3,72,6.2,0,0,0,0,0.238,2.5,0,0,0,0,0,0,500,2
31,9,1023,68,27.2,0,0,72,5.1,71,7,0,0,0,0,0.245,2.8,0,0,0,0,0,0,500,2
31,10,1013,66,30.3,0,0,71,5.7,71,7.7,0,0,0,0,0.251,3,0,0,0,0,0,0,500,2
31,11,1003,64,33,0,0,70,6.3,71,8.2,0,0,0,0,0.258,3.1,0,0,0,0,0,0,500,2
31,12,993,63,35.4,0,0,69,6.8,70,8.7,0,0,0,0,0.264,3.2,0,0,0,0,0,0,500,2
31,13,983,61,37.5,0,0,69,7.2,70,9,0,0,0,0,0.27,3.3,0,0,0,0,0,0,500,2
31,14,973,60,39.3,0,0,68,7.5,70,9.4,0,0,0,0,0.276,3.3,0,0,0,0,0,0,500,2
31,15,963,59,40.9,0,0,67,7.8,69,9.7,0,0,0,0,0.282,3.3,0,0,0,0,0,0,500,2
31,16,953,58,42.4,0,0,66,8.1,69,9.9,0,0,0,0,0.288,3.3,0,0,0,0,0,0,500,2
31,17,943,57,43.6,0,0,66,8.4,69,10.2,0,0,0,0,0.294,3.3,0,0,0,0,0,0,500,2
31,18,933,57,44.8,0,0,65,8.7,69,10.4,0,0,0,0,0.3,3.3,0,0,0,0,0,0,500,2
31,19,923,56,45.8,0,0,64,8.9,68,10.5,0,0,0,0,0.306,3.3,0,0,0,0,0,0,500,2
31,20,913,56,46.7,0,0,64,9.1,68,10.7,0,0,0,0,0.311,3.2,0,0,0,0,0,0,500,2
,,,,,,,,,,,,,,,,,,,,,,,,
32,1,1097,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
32,2,1087,80,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
32,3,1077,79,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
32,4,1067,78,7.2,74,0.3,0,0,0,0,0,0,0,0,0.22,0.2,0,0,0,0,0,0,500,2
32,5,1057,77,10.4,73,1.1,0,0,73,0.1,0,0,0,0,0.227,0.8,0,0,0,0,0,0,500,2
32,6,1047,74,15.4,0,0,74,2.8,73,2.1,0,0,0,0,0.235,1.5,0,0,0,0,0,0,500,2
32,7,1037,72,19.7,0,0,73,3.9,72,3.3,0,0,0,0,0.243,2,0,0,0,0,0,0,500,2
32,8,1027,69,23.4,0,0,72,4.8,72,4.2,0,0,0,0,0.251,2.3,0,0,0,0,0,0,500,2
32,9,1017,67,26.7,0,0,71,5.5,71,5,0,0,0,0,0.258,2.6,0,0,0,0,0,0,500,2
32,10,1007,65,29.6,0,0,71,6.2,71,5.6,0,0,0,0,0.265,2.8,0,0,0,0,0,0,500,2
32,11,997,64,32.2,0,0,70,6.7,70,6.1,0,0,0,0,0.272,2.9,0,0,0,0,0,0,500,2
32,12,987,62,34.5,0,0,69,7.1,70,6.5,0,0,0,0,0.279,3,0,0,0,0,0,0,500,2
32,13,977,61,36.5,0,0,68,7.5,70,7,0,0,0,0,0.285,3,0,0,0,0,0,0,500,2
32,14,967,60,38.3,0,0,67,7.8,69,7.3,0,0,0,0,0.291,3.1,0,0,0,0,0,0,500,2
32,15,957,59,39.9,0,0,67,8.1,69,7.6,0,0,0,0,0.298,3.1,0,0,0,0,0,0,500,2
32,16,947,58,41.3,0,0,66,8.3,69,7.9,0,0,0,0,0.304,3.1,0,0,0,0,0,0,500,2
32,17,937,57,42.5,0,0,65,8.6,68,8.1,0,0,0,0,0.31,3.1,0,0,0,0,0,0,500,2
32,18,927,56,43.6,0,0,64,8.8,68,8.4,0,0,0,0,0.316,3.1,0,0,0,0,0,0,500,2
32,19,917,56,44.7,0,0,64,9,68,8.6,0,0,0,0,0.322,3.1,0,0,0,0,0,0,500,2
,,,,,,,,,,,,,,,,,,,,,,,,
33,1,1092,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
33,2,1082,78,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
33,3,1072,77,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
33,4,1062,76,7.2,0,0,75,0.4,0,0,0,0,0,0,0.23,0.3,0,0,0,0,0,0,500,2
33,5,1052,75,10.6,0,0,75,1.8,0,0,0,0,0,0,0.237,0.9,0,0,0,0,0,0,500,2
33,6,1042,73,15.6,0,0,74,3.5,72,0.3,0,0,0,0,0.248,1.4,0,0,0,0,0,0,500,2
33,7,1032,71,19.6,0,0,73,4.5,72,1.4,0,0,0,0,0.257,1.8,0,0,0,0,0,0,500,2
33,8,1022,69,23.1,0,0,72,5.3,71,2.3,0,0,0,0,0.265,2.2,0,0,0,0,0,0,500,2
33,9,1012,67,26.2,0,0,71,6,71,3,0,0,0,0,0.272,2.4,0,0,0,0,0,0,500,2
33,10,1002,65,29,0,0,70,6.5,70,3.6,0,0,0,0,0.28,2.6,0,0,0,0,0,0,500,2
33,11,992,63,31.5,0,0,69,7,70,4.1,0,0,0,0,0.287,2.7,0,0,0,0,0,0,500,2
33,12,982,62,33.6,0,0,68,7.4,70,4.5,0,0,0,0,0.293,2.8,0,0,0,0,0,0,500,2
33,13,972,61,35.6,0,0,68,7.7,69,5,0,0,0,0,0.3,2.8,0,0,0,0,0,0,500,2
33,14,962,59,37.4,0,0,67,8,69,5.3,0,0,0,0,0.307,2.9,0,0,0,0,0,0,500,2
33,15,952,58,38.9,0,0,66,8.3,69,5.7,0,0,0,0,0.313,2.9,0,0,0,0,0,0,500,2
33,16,942,58,40.3,0,0,65,8.5,69,6,0,0,0,0,0.32,2.9,0,0,0,0,0,0,500,2
